map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
1,2,0.1,3,104,3,1.0,1.9915093613566135,0.830523911510322
1,2,0.1,3,157,3,1.0,1.3321790402101223,0.5555618109440845
1,2,0.1,5,448,4,0.8,1.6052071074554588,0.6694233587533471
1,2,0.1,7,530,7,1.0,2.070042813660711,0.8632749049315018
1,2,0.1,1,24,1,1.0,1.4941751382893085,0.6231194311274443
1,2,0.1,3,254,2,0.6666666666666666,1.7328679513998633,0.7226620657947196
1,2,0.1,2,179,1,0.5,1.6715952780212544,0.6971093762866816
1,2,0.1,4,262,4,1.0,1.8238733159854374,0.760614250620277
1,2,0.1,1,23,1,1.0,1.8462202193216333,0.7699336331594973
1,2,0.1,2,181,1,0.5,1.5934242371738903,0.6645095201819828
1,2,0.1,2,168,1,0.5,1.3862943611198906,0.5781296526357756
1,2,0.1,2,111,2,1.0,1.5934032318284823,0.6645007602725547
1,2,0.1,4,268,4,1.0,1.844621476365503,0.7692669055612296
1,2,0.1,3,176,3,1.0,1.7379834485870498,0.724795393820016
1,2,0.1,4,256,4,1.0,1.642461460458882,0.6849596306773278
1,2,0.1,3,242,2,0.6666666666666666,1.8636799873410004,0.7772149219703265
1,2,0.1,5,216,5,1.0,1.8343719702816235,0.7649925295281519
1,2,0.1,4,481,2,0.5,2.1383330595080277,0.891754149468158
2,2,0.1,7,927,4,0.5714285714285714,2.228704981881932,0.8445079827829467
2,2,0.1,4,450,2,0.5,2.2015919754331668,0.8342342361142004
2,2,0.1,4,578,1,0.25,2.1343200500096993,0.808743344094331
2,2,0.1,6,556,6,1.0,2.201511865986724,0.834203880787871
2,2,0.1,7,996,3,0.42857142857142855,2.296830531270908,0.8703223327117935
2,2,0.1,7,875,3,0.42857142857142855,2.204613850580972,0.8353792946598766
2,2,0.1,9,1244,2,0.2222222222222222,2.2238023483506475,0.8426502612866126
2,2,0.1,4,496,1,0.25,2.0692024658203625,0.7840687819093443
2,2,0.1,4,433,2,0.5,2.1285490048751514,0.8065565613102719
2,2,0.1,6,886,2,0.3333333333333333,2.370529437542934,0.898248556763459
2,2,0.1,7,971,2,0.2857142857142857,2.211223242361526,0.8378837464223995
2,2,0.1,2,128,2,1.0,2.1458417525947544,0.8131091842963455
2,2,0.1,7,952,3,0.42857142857142855,2.2893275937865494,0.8674792957681995
2,2,0.1,4,462,2,0.5,2.2395650870368415,0.8486231283817325
2,2,0.1,5,496,3,0.6,2.3056573382986394,0.8736670145149046
2,2,0.1,6,455,6,1.0,2.1169846726406845,0.8021745677458679
2,2,0.1,5,561,3,0.6,2.1761856615603072,0.8246071948264829
2,2,0.1,4,480,2,0.5,1.8722680776500713,0.7094457769596937
2,2,0.1,8,1049,3,0.375,1.7621244868283288,0.6677098170827629
2,2,0.1,7,760,4,0.5714285714285714,2.2326944771870663,0.8460196950373053
2,2,0.1,4,354,3,0.75,2.351673301904631,0.891103529853016
2,2,0.1,4,507,1,0.25,2.394700405858334,0.9074074969820574
2,2,0.1,4,572,2,0.5,2.359717390298755,0.8941516214211126
2,2,0.1,4,504,2,0.5,2.1645355597008624,0.8201927011628901
2,2,0.1,5,617,2,0.4,2.367457299278236,0.8970844523576081
2,2,0.1,4,493,2,0.5,1.9667398382940018,0.7452433170827433
2,2,0.1,7,897,4,0.5714285714285714,2.0683004894378785,0.7837270021486842
2,2,0.1,5,496,4,0.8,2.1458417525947544,0.8131091842963455
2,2,0.1,7,937,4,0.5714285714285714,2.112534244730825,0.8004881974423823
2,2,0.1,4,498,1,0.25,2.1186492470699507,0.8028053135847653
2,2,0.1,6,666,4,0.6666666666666666,2.156959938665891,0.8173221227370414
2,2,0.1,6,643,4,0.6666666666666666,2.1312134450448053,0.8075661794567796
2,2,0.1,7,938,4,0.5714285714285714,2.062853503586604,0.7816630129392992
2,2,0.1,8,1248,0,0.0,1.112250547502534,0.4214575162960504
2,2,0.1,13,1905,1,0.07692307692307693,2.3756465481342484,0.9001875485897792
2,2,0.1,5,648,2,0.4,2.1889339271348485,0.8294378081790166
2,2,0.1,2,184,1,0.5,2.306668725404531,0.8740502525349892
2,2,0.1,7,966,3,0.42857142857142855,1.8925804828502704,0.7171426181659286
2,2,0.1,4,381,2,0.5,2.2110688711446103,0.8378252515897244
2,2,0.1,7,842,5,0.7142857142857143,1.95314791535037,0.7400930223956577
2,2,0.1,6,562,5,0.8333333333333334,2.025780765238869,0.7676152929706163
2,2,0.1,7,922,2,0.2857142857142857,2.1761856615603072,0.8246071948264829
2,2,0.1,6,936,0,0.0,2.292671293250489,0.8687463010076905
2,2,0.1,7,950,2,0.2857142857142857,2.260233853174674,0.8564550030082855
2,2,0.1,9,1242,2,0.2222222222222222,1.9993275670392427,0.7575915629429391
2,2,0.1,4,536,1,0.25,2.2465489162400174,0.851269463163779
2,2,0.1,2,70,2,1.0,2.168155236015967,0.8215642804288973
2,2,0.1,5,676,2,0.4,2.402939691388262,0.9105295532699097
2,2,0.1,9,1007,5,0.5555555555555556,2.273542287037899,0.8614978771110491
2,2,0.1,17,2652,0,0.0,1.617533157610247,0.612920810570668
2,2,0.1,2,185,1,0.5,2.0578975319224093,0.7797850803879373
2,2,0.1,5,611,2,0.4,2.344038706024456,0.888210604491183
2,2,0.1,5,683,2,0.4,2.0498237115656854,0.7767257226899743
2,2,0.1,7,853,3,0.42857142857142855,2.2877732291622817,0.8668903109792656
2,2,0.1,6,677,3,0.5,2.171546030553765,0.8228491310836167
2,2,0.1,5,669,4,0.8,2.325614722062307,0.881229329868841
2,2,0.1,4,486,2,0.5,2.1367731579083458,0.8096728835443149
2,2,0.1,7,932,3,0.42857142857142855,2.0665939593931983,0.7830803583545045
2,2,0.1,5,428,4,0.8,2.3786201994102125,0.9013143339925039
2,2,0.1,5,651,2,0.4,2.3278522404092055,0.8820771774399373
2,2,0.1,5,575,3,0.6,2.1981792495344483,0.8329410751584223
2,2,0.1,4,295,4,1.0,2.293118601486813,0.8689157964677945
2,2,0.1,7,970,5,0.7142857142857143,2.4163127786147074,0.9155969260307716
2,2,0.1,4,478,3,0.75,2.2625348607155664,0.857326908106773
2,2,0.1,6,800,4,0.6666666666666666,2.285062307900085,0.8658630800692831
2,2,0.1,7,871,3,0.42857142857142855,2.1707183227483937,0.8225354934084957
2,2,0.1,4,495,2,0.5,2.1505271112173467,0.8148845752929765
2,2,0.1,5,594,2,0.4,2.21272724278233,0.8384536470471136
2,2,0.1,4,468,2,0.5,2.192453559028045,0.8307714782943642
2,2,0.1,2,180,1,0.5,2.143952200643869,0.8123931892591476
2,2,0.1,8,808,6,0.75,2.5126428026911745,0.9520986052460961
2,2,0.1,7,773,6,0.8571428571428571,2.319056231135705,0.8787441656198482
2,2,0.1,8,1056,2,0.25,2.3466586149281516,0.8892033487087092
2,2,0.1,4,606,2,0.5,2.343863035631924,0.888144038907116
2,2,0.1,7,991,2,0.2857142857142857,2.11895857144055,0.8029225237594471
2,2,0.1,4,388,3,0.75,2.08676875496392,0.7907250560821067
2,2,0.1,2,183,1,0.5,2.220025327834538,0.8412190606553401
2,2,0.1,7,989,3,0.42857142857142855,2.3169506610614627,0.8779463163080452
2,2,0.1,4,493,3,0.75,2.195181815149802,0.8318052777844853
2,2,0.1,8,996,3,0.375,2.284951433839381,0.8658210673174342
2,2,0.1,6,772,2,0.3333333333333333,2.0357900957469206,0.7714080603333135
2,2,0.1,4,311,4,1.0,2.243618513741878,0.8501590657255519
2,2,0.1,3,287,3,1.0,2.2125010961100977,0.8383679548305427
2,2,0.1,2,124,2,1.0,2.2502602786175907,0.8526757844042936
2,2,0.1,4,339,3,0.75,2.334549109212565,0.8846147762742665
2,2,0.1,4,408,2,0.5,2.341994252232425,0.8874359135554886
2,2,0.1,7,926,2,0.2857142857142857,2.399259125285942,0.9091349014519984
2,2,0.1,4,330,3,0.75,2.2451588719874653,0.8507427431729122
2,2,0.1,11,1525,3,0.2727272727272727,1.6614239878589772,0.6295520636155305
2,2,0.1,4,434,2,0.5,1.8095511962512705,0.6856808967143887
2,2,0.1,5,629,2,0.4,2.0790369051126296,0.7877952789361068
2,2,0.1,5,639,2,0.4,2.298121604268338,0.8708115501997736
2,2,0.1,10,1133,6,0.6,2.0296304248102643,0.7690740182238326
2,2,0.1,4,579,1,0.25,2.306053545419015,0.8738171465775656
2,2,0.1,4,513,1,0.25,2.231606951608935,0.8456076063850706
2,2,0.1,6,568,5,0.8333333333333334,2.2781179623110317,0.8632317065439244
2,2,0.1,6,690,3,0.5,2.2808995909070258,0.8642857301017983
2,2,0.1,9,1208,3,0.3333333333333333,2.1566544705803703,0.8172063737981712
2,2,0.1,4,412,3,0.75,2.3011811129178708,0.8719708689516624
2,2,0.1,4,594,2,0.5,2.093542978324649,0.7932919663514326
3,2,0.1,3,240,3,1.0,2.0488828279013447,0.7763692000582822
3,2,0.1,4,516,2,0.5,2.3025117648186724,0.872475083803636
3,2,0.1,5,603,3,0.6,2.297354096187105,0.87052072359566
3,2,0.1,3,334,1,0.3333333333333333,2.145841752594754,0.8131091842963453
3,2,0.1,5,385,5,1.0,1.9213363139659514,0.7280388691844213
3,2,0.1,4,506,1,0.25,1.9565588879179245,0.7413855189736126
3,2,0.1,2,183,1,0.5,1.8903627753388679,0.7163022773796502
3,2,0.1,2,112,2,1.0,2.098147389135067,0.7950366843455237
3,2,0.1,7,885,3,0.42857142857142855,1.8932488849603801,0.7173958912201397
3,2,0.1,7,935,3,0.42857142857142855,2.1096550314244324,0.79939719677556
3,2,0.1,2,199,2,1.0,2.1143081309515277,0.8011603640530869
3,2,0.1,7,964,3,0.42857142857142855,2.4391266736655286,0.9242416397301694
3,2,0.1,7,520,7,1.0,1.8636799873410002,0.7061915504551398
3,2,0.1,5,408,4,0.8,1.8937882323911377,0.7176002624646386
3,2,0.1,7,860,4,0.5714285714285714,2.083129266194599,0.7893459694179107
3,2,0.1,2,198,1,0.5,1.8018924006588724,0.6827788015206042
3,2,0.1,9,1081,5,0.5555555555555556,2.208249050399671,0.8367567561412568
3,2,0.1,5,525,3,0.6,1.9251211907908183,0.7294730467532045
3,2,0.1,6,936,0,0.0,1.788812083283208,0.6778223660431031
3,2,0.1,2,97,2,1.0,1.8130821353869815,0.6870188514060459
3,2,0.1,2,139,2,1.0,1.8891591637540217,0.7158462010484015
3,2,0.1,5,539,3,0.6,2.099292799933921,0.7954707070497675
3,2,0.1,4,536,2,0.5,2.371055870740169,0.8984480345055025
3,2,0.1,3,299,2,0.6666666666666666,2.0592293789763123,0.7802897481111266
3,2,0.1,3,208,2,0.6666666666666666,2.098147389135067,0.7950366843455237
3,2,0.1,4,500,2,0.5,1.721954449406054,0.6524884586941101
3,2,0.1,8,712,6,0.75,2.1768770076591495,0.8248691618899052
3,2,0.1,6,693,4,0.6666666666666666,2.0431918705451206,0.77421276439
3,2,0.1,3,279,2,0.6666666666666666,2.3331949098485696,0.8841016387426188
3,2,0.1,4,410,3,0.75,2.179273790053064,0.8257773583004258
3,2,0.1,4,398,3,0.75,2.2402143880273635,0.8488691635789355
3,2,0.1,7,947,4,0.5714285714285714,1.648588284382536,0.6246883180150086
3,2,0.1,4,477,2,0.5,2.168155236015967,0.8215642804288973
3,2,0.1,4,404,2,0.5,1.9561874676604514,0.7412447792279068
